Station;year;month;day;601;pc
3427050;2015;9;10;0;24
3427050;2015;9;11;0;24
3427050;2015;9;12;0;24
3427050;2015;9;13;0;24
3427050;2015;9;14;0;24
3427050;2015;9;15;0;24
3427050;2015;9;16;3,5;24
3427050;2015;9;17;3,3;24
3427050;2015;9;18;0;24
3427050;2015;9;19;0;24
3427050;2015;9;20;1,3;24
3427050;2015;9;21;48,6;24
3427050;2015;9;22;0,4;24
3427050;2015;9;23;2,8;24
3427050;2015;9;24;2,9;24
3427050;2015;9;25;0;24
3427050;2015;9;26;0;24
3427050;2015;9;27;0;24
3427050;2015;9;28;1,7;24
3427050;2015;9;29;1,4;24
3427050;2015;9;30;4,9;24
3427050;2015;10;1;0;24
3427050;2015;10;2;0;24
3427050;2015;10;3;0;24
3427050;2015;10;4;0;24
3427050;2015;10;5;0;24
3427050;2015;10;6;0;24
3427050;2015;10;7;0;24
3427050;2015;10;8;0;24
3427050;2015;10;9;0;24
3427050;2015;10;10;0;24
3427050;2015;10;11;0;24
3427050;2015;10;12;12,2;24
3427050;2015;10;13;3;24
3427050;2015;10;14;23,6;24
3427050;2015;10;15;17;24
3427050;2015;10;16;10,7;24
3427050;2015;10;17;0;24
3427050;2015;10;18;0;24
3427050;2015;10;19;0;24
3427050;2015;10;20;0;24
3427050;2015;10;21;0;24
3427050;2015;10;22;0;24
3427050;2015;10;23;0;24
3427050;2015;10;24;0;24
3427050;2015;10;25;1,9;24
3427050;2015;10;26;13,4;24
3427050;2015;10;27;0;24
3427050;2015;10;28;0;24
3427050;2015;10;29;0;24
3427050;2015;10;30;0;24
3427050;2015;10;31;0;24
3427050;2015;11;1;0;24
3427050;2015;11;2;0,1;24
3427050;2015;11;3;0;24
3427050;2015;11;4;0;24
3427050;2015;11;5;0;24
3427050;2015;11;6;0;24
3427050;2015;11;7;0;24
3427050;2015;11;8;0;24
3427050;2015;11;9;0;24
3427050;2015;11;10;5,2;24
3427050;2015;11;11;0,2;24
3427050;2015;11;12;0,4;24
3427050;2015;11;13;0;24
3427050;2015;11;14;0;24
3427050;2015;11;15;0;24
3427050;2015;11;16;0;24
3427050;2015;11;17;0;24
3427050;2015;11;18;0;24
